name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit-large@frgfm#imagenette-0,45,15,518.1378710269928,563.1378710269928,1,66283.0,1
vit-large@imagenet-split-1-1,92,28,1194.1378710269928,1286.1378710269928,1,749250.0,4
vit-large@Bingsu#Cat_and_Dog-2,766,14,244.1378710269928,1010.1378710269928,1,31680.0,1
vit-large@food101-3,786,54,2847.137871026993,3633.137871026993,1,757500,8
vit-large@imagenet-split-0-4,1280,40,1816.1378710269928,3096.137871026993,1,250000.0,1
vit-large@Bingsu#Cat_and_Dog-5,1322,58,288.1378710269928,1610.1378710269928,1,31680.0,1
vit-large@imagenet-split-2-6,1987,53,3213.137871026993,5200.137871026993,1,1000000.0,2
vit-large@imagenet-split-1-7,2229,51,792.1378710269928,3021.137871026993,1,749250.0,8
vit-large@imagenet-split-1-8,2634,66,1232.1378710269928,3866.137871026993,1,749250.0,4
vit-large@imagenet-split-2-9,2660,40,3200.137871026993,5860.137871026993,1,1000000.0,2
vit-large@mnist-10,3002,58,960.1378710269928,3962.137871026993,1,600000.0,8
vit-large@mnist-11,3002,118,1020.1378710269928,4022.137871026993,1,600000.0,8
vit-large@imagenet-split-0-12,3014,46,803.1378710269928,3817.137871026993,1,250000.0,4
vit-large@frgfm#imagenette-13,3459,21,524.1378710269928,3983.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-14,3853,47,550.1378710269928,4403.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-15,4072,8,511.1378710269928,4583.137871026993,1,66283.0,1
vit-large@Bingsu#Cat_and_Dog-16,4295,25,255.1378710269928,4550.137871026993,1,31680.0,1
vit-large@mnist-17,4853,7,909.1378710269928,5762.137871026993,1,600000.0,8
vit-large@fashion_mnist-18,4853,7,909.1378710269928,5762.137871026993,1,600000.0,8
vit-large@food101-19,4906,14,2807.137871026993,7713.137871026993,1,757500,8
vit-large@food101-20,4906,14,3240.137871026993,8146.137871026993,1,757500,2
vit-large@fashion_mnist-21,5098,2,904.1378710269928,6002.137871026993,1,600000.0,8
vit-large@imagenet-split-2-22,6003,57,3217.137871026993,9220.137871026993,1,1000000.0,2
vit-large@food101-23,6111,69,3295.137871026993,9406.137871026993,1,757500,2
vit-large@mnist-24,6467,13,915.1378710269928,7382.137871026993,1,600000.0,8
vit-large@frgfm#imagenette-25,7190,10,513.1378710269928,7703.137871026993,1,66283.0,1
vit-large@imagenet-split-0-26,7246,14,771.1378710269928,8017.137871026993,1,250000.0,4
vit-large@cifar100-27,7246,134,1051.1378710269928,8297.137871026993,1,500000.0,4
vit-large@imagenet-split-1-28,7328,112,1278.1378710269928,8606.137871026993,1,749250.0,4
vit-large@cifar100-29,7430,10,927.1378710269928,8357.137871026993,1,500000.0,4
vit-large@imagenet-split-1-30,7490,10,1176.1378710269928,8666.137871026993,1,749250.0,4
vit-large@cifar100-31,7516,44,3023.137871026993,10539.137871026993,1,500000.0,1
vit-large@cifar100-32,7670,10,927.1378710269928,8597.137871026993,1,500000.0,4
vit-large@mnist-33,7719,21,1112.1378710269928,8831.137871026993,1,600000.0,4
vit-large@mnist-34,7774,26,3592.137871026993,11366.137871026993,1,600000.0,1
vit-large@imagenet-split-0-35,7814,106,863.1378710269928,8677.137871026993,1,250000.0,4
vit-large@Bingsu#Cat_and_Dog-36,7949,151,381.1378710269928,8330.137871026993,1,31680.0,1
vit-large@cifar100-37,8044,116,3095.137871026993,11139.137871026993,1,500000.0,1
