name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-large@mrpc-0,45,75,167.34559297561646,212.34559297561646,1,9170,8
roberta-large@qnli-1,786,54,530.3455929756165,1316.3455929756165,1,235674.0,32
roberta-large@qnli-2,1280,40,516.3455929756165,1796.3455929756165,1,235674.0,32
roberta-large@sst2-3,1987,53,281.6911859512329,2268.691185951233,2,84190.0,24
roberta-large@qnli-4,2634,6,899.7279648780823,3533.7279648780823,5,235674.0,1
roberta-large@qnli-5,2660,100,940.3823719024658,3600.382371902466,4,235674.0,8
roberta-large@qnli-6,3002,118,943.3823719024658,3945.382371902466,4,235674.0,16
roberta-large@stsb-7,3459,21,125.34559297561646,3584.3455929756165,1,12942.0,8
roberta-large@rte-8,4072,8,107.34559297561646,4179.3455929756165,1,4984.0,4
roberta-large@qnli-9,4853,134,471.34559297561646,5257.3455929756165,1,235674.0,8
roberta-large@mnli-10,4906,81,418.34559297561646,5310.3455929756165,1,785408.0,2
roberta-large@qqp-11,6003,234,1395.3455929756165,7281.3455929756165,1,909620.0,16
roberta-large@mnli-12,6111,126,1287.3455929756165,7389.3455929756165,1,785408.0,2
roberta-large@qnli-13,7246,74,903.0735578536987,8149.073557853699,6,235674.0,20
roberta-large@sst2-14,7328,112,351.34559297561646,7679.3455929756165,1,84190.0,16
roberta-large@wnli-15,7516,44,113.34559297561646,7629.3455929756165,1,1590.0,3
roberta-large@sst2-16,7774,26,265.34559297561646,8039.3455929756165,1,84190.0,16
roberta-large@rte-17,8067,93,192.34559297561646,8259.345592975616,1,4984.0,4
roberta-large@sst2-18,8267,13,241.6911859512329,8508.691185951233,2,84190.0,24
roberta-large@rte-19,8364,36,135.34559297561646,8499.345592975616,1,4984.0,4
roberta-large@stsb-20,8718,84,149.34559297561646,8825.345592975616,1,12942.0,1
roberta-large@qnli-21,8748,54,119.34559297561646,8855.345592975616,1,235674.0,2
roberta-large@qnli-22,8768,112,703.0367789268494,9471.03677892685,3,235674.0,20
roberta-large@wnli-23,9147,93,194.34559297561646,9341.345592975616,1,1590.0,1
roberta-large@wnli-24,9538,124,224.34559297561646,9700.345592975616,1,1590.0,1
roberta-large@mrpc-25,9538,124,224.34559297561646,9700.345592975616,1,9170,1
roberta-large@wnli-26,9538,62,163.34559297561646,9701.345592975616,1,1590.0,1
roberta-large@wnli-27,9539,61,162.34559297561646,9701.345592975616,1,1590.0,1
roberta-large@qnli-28,9612,121,221.34559297561646,9725.345592975616,1,235674.0,1
roberta-large@wnli-29,9707,26,126.34559297561646,9820.345592975616,1,1590.0,1
roberta-large@wnli-30,10052,28,89.34559297561646,10141.345592975616,1,1590.0,8
roberta-large@rte-31,10462,98,197.34559297561646,10659.345592975616,1,4984.0,4
roberta-large@snli-32,10617,125,1194.0367789268494,11748.03677892685,3,824064.0,8
roberta-large@mnli-33,10618,124,1193.0367789268494,11749.03677892685,3,785408.0,8
roberta-large@rte-34,11194,86,185.34559297561646,11379.345592975616,1,4984.0,4
roberta-large@rte-35,11696,128,198.34559297561646,11830.345592975616,1,4984.0,1
roberta-large@stsb-36,11714,110,180.34559297561646,11848.345592975616,1,12942.0,1
roberta-large@stsb-37,12079,82,146.34559297561646,12184.345592975616,1,12942.0,1
roberta-large@snli-38,12082,79,143.34559297561646,12187.345592975616,1,824064.0,8
roberta-large@sst2-39,12456,24,252.6911859512329,12708.691185951233,2,84190.0,24
