name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit-large@frgfm#imagenette-0,45,150,228.1378710269928,198.1378710269928,1,66283.0,1
vit-large@imagenet-split-1-1,92,103,181.1378710269928,245.1378710269928,1,749250.0,4
vit-large@food101-2,786,54,2891.2757420539856,3677.2757420539856,2,757500,4
vit-large@imagenet-split-0-3,1280,40,998.1378710269928,2278.137871026993,1,250000.0,12
vit-large@imagenet-split-0-4,1987,53,1090.5514841079712,3077.551484107971,4,250000.0,2
vit-large@imagenet-split-1-5,2229,51,742.4136130809784,2971.4136130809784,3,749250.0,8
vit-large@imagenet-split-1-6,2634,6,949.8272261619568,3583.827226161957,6,749250.0,8
vit-large@imagenet-split-0-7,2660,100,1159.2757420539856,3819.2757420539856,2,250000.0,2
vit-large@mnist-8,3002,118,946.2757420539856,3948.2757420539856,2,600000.0,16
vit-large@frgfm#imagenette-9,3459,21,479.4136130809784,3938.4136130809784,3,66283.0,4
vit-large@frgfm#imagenette-10,3853,107,444.2757420539856,4297.275742053986,2,66283.0,2
vit-large@frgfm#imagenette-11,4072,8,295.1378710269928,4367.137871026993,1,66283.0,12
vit-large@mnist-12,4853,67,1130.9650971889496,5983.96509718895,7,600000.0,4
vit-large@food101-13,4906,14,2874.827226161957,7780.827226161957,6,757500,4
vit-large@fashion_mnist-14,5098,62,1129.689355134964,6227.689355134964,5,600000.0,16
vit-large@imagenet-split-2-15,6003,126,1042.4136130809784,6928.413613080978,3,1000000.0,8
vit-large@food101-16,6111,18,934.4136130809784,7036.413613080978,3,757500,2
vit-large@imagenet-split-0-17,7246,74,1013.2757420539856,8259.275742053986,2,250000.0,2
vit-large@cifar100-18,7246,74,1106.689355134964,8352.689355134964,5,500000.0,1
vit-large@imagenet-split-1-19,7328,122,1145.689355134964,8361.689355134964,6,749250.0,4
vit-large@cifar100-20,7430,20,1043.689355134964,8463.689355134964,6,500000.0,4
vit-large@imagenet-split-1-21,7490,114,953.4136130809784,8373.413613080978,3,749250.0,4
vit-large@cifar100-22,7516,88,927.4136130809784,8399.413613080978,3,500000.0,1
vit-large@cifar100-23,7670,10,935.2757420539856,8605.275742053986,2,500000.0,8
vit-large@mnist-24,7719,81,1149.2757420539856,8868.275742053986,2,600000.0,8
vit-large@mnist-25,7774,26,1175.5514841079712,8949.551484107971,4,600000.0,8
vit-large@Bingsu#Cat_and_Dog-26,8067,93,414.2757420539856,8481.275742053986,2,31680.0,1
vit-large@imagenet-split-1-27,8267,13,939.5514841079712,9206.551484107971,5,749250.0,12
vit-large@Bingsu#Cat_and_Dog-28,8364,36,357.2757420539856,8721.275742053986,2,31680.0,1
vit-large@fashion_mnist-29,8718,54,709.5514841079712,9385.551484107971,4,600000.0,1
vit-large@cifar100-30,8748,24,679.5514841079712,9415.551484107971,4,500000.0,2
vit-large@cifar100-31,8768,112,1060.8272261619568,9828.827226161957,6,500000.0,4
vit-large@frgfm#imagenette-32,9026,94,327.1378710269928,9353.137871026993,1,66283.0,4
vit-large@frgfm#imagenette-33,9147,93,326.1378710269928,9473.137871026993,1,66283.0,4
vit-large@food101-34,9491,170,517.2757420539856,9899.275742053986,3,757500,8
vit-large@frgfm#imagenette-35,9538,62,295.1378710269928,9833.137871026993,1,66283.0,4
vit-large@frgfm#imagenette-36,9538,62,295.1378710269928,9833.137871026993,1,66283.0,4
vit-large@frgfm#imagenette-37,9538,123,214.1378710269928,9690.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-38,9538,62,295.1378710269928,9833.137871026993,1,66283.0,4
vit-large@frgfm#imagenette-39,9539,122,469.2757420539856,9947.275742053986,3,66283.0,1
vit-large@Bingsu#Cat_and_Dog-40,9539,122,213.1378710269928,9691.137871026993,1,31680.0,1
vit-large@imagenet-split-0-41,9612,121,226.1378710269928,9730.137871026993,1,250000.0,1
vit-large@Bingsu#Cat_and_Dog-42,9707,26,131.1378710269928,9825.137871026993,1,31680.0,1
vit-large@frgfm#imagenette-43,10052,28,315.1378710269928,10367.137871026993,1,66283.0,12
vit-large@frgfm#imagenette-44,10462,98,675.2757420539856,11137.275742053986,2,66283.0,2
vit-large@food101-45,10617,63,3419.068065404892,14036.068065404892,15,757500,12
vit-large@food101-46,10618,62,3886.3438074588776,14504.343807458878,18,757500,2
vit-large@food101-47,10618,62,3284.6544523239136,13902.654452323914,12,757500,3
vit-large@frgfm#imagenette-48,10835,85,422.2757420539856,11257.275742053986,2,66283.0,2
vit-large@frgfm#imagenette-49,11194,86,423.2757420539856,11617.275742053986,2,66283.0,2
vit-large@frgfm#imagenette-50,11370,60,151.1378710269928,11491.137871026993,1,66283.0,2
vit-large@Bingsu#Cat_and_Dog-51,11370,60,151.1378710269928,11491.137871026993,1,31680.0,1
vit-large@frgfm#imagenette-52,11696,64,401.2757420539856,12097.275742053986,2,66283.0,2
vit-large@frgfm#imagenette-53,11714,46,279.1378710269928,11993.137871026993,1,66283.0,4
vit-large@frgfm#imagenette-54,12033,87,320.1378710269928,12353.137871026993,1,66283.0,4
vit-large@Bingsu#Cat_and_Dog-55,12079,82,144.1378710269928,12182.137871026993,1,31680.0,1
